仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
ETH/USDT:USDT_1752898668710,ETH/USDT:USDT,多头,8.881784197001252e-16,3594.7399999999993,2025-07-19 12:17:48,3665.25,2025-07-23 15:49:17,已平仓,-209.39230901999562,15,1752898668710,1753256957522
ETH/USDT:USDT_1753256957522_reverse,ETH/USDT:USDT,空头,4.966999999999999,3665.25,2025-07-23 15:49:17,3680.78,2025-07-23 16:17:50,已平仓,-95.38137549000098,2,1753256957522,1753258670569
ETH/USDT:USDT_1753258670569_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3680.78,2025-07-23 16:17:50,3678.34,2025-07-23 17:15:12,已平仓,-13.145090210000001,2,1753258670569,1753262112064
ETH/USDT:USDT_1753262112064_reverse,ETH/USDT:USDT,空头,5.061999999999999,3674.830355590675,2025-07-23 17:15:12,3671.22,2025-07-23 19:27:17,已平仓,-0.3172334500020071,5,1753262112064,1753270037138
ETH/USDT:USDT_1753270037138_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3671.22,2025-07-23 19:27:17,3583.07,2025-07-23 21:51:32,已平仓,-14.257992840000078,2,1753270037138,1753278692587
ETH/USDT:USDT_1753278692587_reverse,ETH/USDT:USDT,空头,3.885999999999999,3583.5319891919717,2025-07-23 21:51:32,3620.21,2025-07-23 22:30:11,已平仓,-156.52762067999822,4,1753278692587,1753281011094
ETH/USDT:USDT_1753281011094_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3620.21,2025-07-23 22:30:11,3580.0,2025-07-24 13:23:31,已平仓,-8.692324030000053,2,1753281011094,1753334611166
ETH/USDT:USDT_1753334611166_reverse,ETH/USDT:USDT,空头,0.23899999999999877,3576.2516845151954,2025-07-24 13:23:31,3532.5,2025-07-24 14:44:19,已平仓,143.56747560000002,7,1753334611166,1753339459865
ETH/USDT:USDT_1753339459865_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3582.4,2025-07-24 14:44:19,3620.27,2025-07-24 18:22:15,已平仓,137.46610560999977,6,1753339459865,1753352535380
ETH/USDT:USDT_1753352535380_reverse,ETH/USDT:USDT,空头,4.900999999999999,3611.887796368089,2025-07-24 18:22:15,3638.83,2025-07-24 19:10:52,已平仓,-149.81162394999612,4,1753352535380,1753355452712
ETH/USDT:USDT_1753355452712_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3638.83,2025-07-24 19:10:52,3922.07,2025-07-28 14:20:19,已平仓,-14.680434769999746,2,1753355452712,1753683619651
ETH/USDT:USDT_1753683619651_reverse,ETH/USDT:USDT,空头,3.429999999999999,3914.2574635708856,2025-07-28 14:20:19,3883.27,2025-07-28 15:09:17,已平仓,97.40849567000045,14,1753683619651,1753686557251
ETH/USDT:USDT_1753686557251_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3889.634511313273,2025-07-28 15:09:17,3860.04,2025-07-28 19:33:57,已平仓,-122.7392787700002,8,1753686557251,1753702437739
ETH/USDT:USDT_1753702437739_reverse,ETH/USDT:USDT,空头,2.429999999999999,3860.04,2025-07-28 19:33:57,3869.78,2025-07-28 19:38:41,已平仓,-33.059931300000564,2,1753702437739,1753702721304
ETH/USDT:USDT_1753702721304_reverse,ETH/USDT:USDT,多头,1.6653345369377348e-15,3887.0,2025-07-28 19:38:41,3863.07,2025-07-28 21:03:53,已平仓,-71.80662255000036,18,1753702721304,1753707833937
ETH/USDT:USDT_1753707833937_reverse,ETH/USDT:USDT,空头,1.4909999999999983,3862.3089715478986,2025-07-28 21:03:53,3847.14,2025-07-28 21:25:23,已平仓,43.34488051000014,6,1753707833937,1753709123099
ETH/USDT:USDT_1753709123099_reverse,ETH/USDT:USDT,多头,1.7763568394002505e-15,3862.8100000000004,2025-07-28 21:25:23,3785.78,2025-07-29 12:33:19,已平仓,-85.70701053000172,4,1753709123099,1753763599363
