仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
ETH/USDT:USDT_1752898668710,ETH/USDT:USDT,多头,8.881784197001252e-16,3594.7399999999993,2025-07-19 12:17:48,3665.25,2025-07-23 15:49:17,已平仓,6.262546037305643e-14,15,1752898668710,1753256957522
ETH/USDT:USDT_1753256957522_reverse,ETH/USDT:USDT,空头,4.966999999999999,3665.25,2025-07-23 15:49:17,3680.78,2025-07-23 16:17:50,已平仓,-77.13751000000097,2,1753256957522,1753258670569
ETH/USDT:USDT_1753258670569_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3680.78,2025-07-23 16:17:50,3678.34,2025-07-23 17:15:12,已平仓,-2.167155344068354e-15,2,1753258670569,1753262112064
ETH/USDT:USDT_1753262112064_reverse,ETH/USDT:USDT,空头,5.061999999999999,3674.830355590675,2025-07-23 17:15:12,3671.22,2025-07-23 19:27:17,已平仓,18.275619999997993,5,1753262112064,1753270037138
ETH/USDT:USDT_1753270037138_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3671.22,2025-07-23 19:27:17,3583.07,2025-07-23 21:51:32,已平仓,-7.829292769656572e-14,2,1753270037138,1753278692587
ETH/USDT:USDT_1753278692587_reverse,ETH/USDT:USDT,空头,3.885999999999999,3583.5319891919717,2025-07-23 21:51:32,3620.21,2025-07-23 22:30:11,已平仓,-142.53074999999822,4,1753278692587,1753281011094
ETH/USDT:USDT_1753281011094_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3620.21,2025-07-23 22:30:11,3580.0,2025-07-24 13:23:31,已平仓,-5.35704813842131e-14,2,1753281011094,1753334611166
ETH/USDT:USDT_1753334611166_reverse,ETH/USDT:USDT,空头,0.23899999999999877,3576.2516845151954,2025-07-24 13:23:31,3532.5,2025-07-24 14:44:19,已平仓,10.456652599131646,7,1753334611166,1753339459865
ETH/USDT:USDT_1753339459865_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3582.4,2025-07-24 14:44:19,3620.27,2025-07-24 18:22:15,已平仓,3.3635316754043646e-14,6,1753339459865,1753352535380
ETH/USDT:USDT_1753352535380_reverse,ETH/USDT:USDT,空头,4.900999999999999,3611.887796368089,2025-07-24 18:22:15,3638.83,2025-07-24 19:10:52,已平仓,-132.04373999999612,4,1753352535380,1753355452712
ETH/USDT:USDT_1753355452712_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3638.83,2025-07-24 19:10:52,3922.07,2025-07-28 14:20:19,已平仓,2.515676555958637e-13,2,1753355452712,1753683619651
ETH/USDT:USDT_1753683619651_reverse,ETH/USDT:USDT,空头,3.429999999999999,3914.2574635708856,2025-07-28 14:20:19,3883.27,2025-07-28 15:09:17,已平仓,106.2870000481378,14,1753683619651,1753686557251
ETH/USDT:USDT_1753686557251_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3889.634511313273,2025-07-28 15:09:17,3860.04,2025-07-28 19:33:57,已平仓,-3.9427809435030383e-14,8,1753686557251,1753702437739
ETH/USDT:USDT_1753702437739_reverse,ETH/USDT:USDT,空头,2.429999999999999,3860.04,2025-07-28 19:33:57,3869.78,2025-07-28 19:38:41,已平仓,-23.668200000000564,2,1753702437739,1753702721304
ETH/USDT:USDT_1753702721304_reverse,ETH/USDT:USDT,多头,1.6653345369377348e-15,3887.0,2025-07-28 19:38:41,3863.07,2025-07-28 21:03:53,已平仓,-3.985145546891972e-14,18,1753702721304,1753707833937
