仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
LTC/USDT:USDT_1752991701015,LTC/USDT:USDT,多头,13.012999999999998,116.44,2025-07-20 14:08:21,118.44,2025-07-20 17:56:48,已平仓,26.025999999999996,8,1752991701015,1753005408674
LTC/USDT:USDT_1753005408674_reverse,LTC/USDT:USDT,空头,1.7763568394002505e-15,118.44,2025-07-20 17:56:48,,,持仓中,0,1,1753005408674,
XRP/USDT:USDT_1753405754526,XRP/USDT:USDT,空头,763.2999999999998,3.1175,2025-07-25 09:09:14,3.0648,2025-07-25 12:19:09,已平仓,40.22591000000014,16,1753405754526,1753417149523
XRP/USDT:USDT_1753417149523_reverse,XRP/USDT:USDT,多头,1.1368683772161603e-13,3.0648,2025-07-25 12:19:09,,,持仓中,0,1,1753417149523,
ETH/USDT:USDT_1752898668710,ETH/USDT:USDT,多头,8.881784197001252e-16,3594.7399999999993,2025-07-19 12:17:48,3665.25,2025-07-23 15:49:17,已平仓,6.262546037305643e-14,15,1752898668710,1753256957522
ETH/USDT:USDT_1753256957522_reverse,ETH/USDT:USDT,空头,4.966999999999999,3665.25,2025-07-23 15:49:17,3680.78,2025-07-23 16:17:50,已平仓,-77.13751000000097,2,1753256957522,1753258670569
ETH/USDT:USDT_1753258670569_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3680.78,2025-07-23 16:17:50,3678.34,2025-07-23 17:15:12,已平仓,-2.167155344068354e-15,2,1753258670569,1753262112064
ETH/USDT:USDT_1753262112064_reverse,ETH/USDT:USDT,空头,5.061999999999999,3674.830355590675,2025-07-23 17:15:12,3671.22,2025-07-23 19:27:17,已平仓,18.275619999997993,5,1753262112064,1753270037138
ETH/USDT:USDT_1753270037138_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3671.22,2025-07-23 19:27:17,3583.07,2025-07-23 21:51:32,已平仓,-7.829292769656572e-14,2,1753270037138,1753278692587
ETH/USDT:USDT_1753278692587_reverse,ETH/USDT:USDT,空头,3.885999999999999,3583.5319891919717,2025-07-23 21:51:32,3620.21,2025-07-23 22:30:11,已平仓,-142.53074999999822,4,1753278692587,1753281011094
ETH/USDT:USDT_1753281011094_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3620.21,2025-07-23 22:30:11,3580.0,2025-07-24 13:23:31,已平仓,-5.35704813842131e-14,2,1753281011094,1753334611166
ETH/USDT:USDT_1753334611166_reverse,ETH/USDT:USDT,空头,0.23899999999999877,3576.2516845151954,2025-07-24 13:23:31,3532.5,2025-07-24 14:44:19,已平仓,10.456652599131646,7,1753334611166,1753339459865
ETH/USDT:USDT_1753339459865_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3582.4,2025-07-24 14:44:19,3620.27,2025-07-24 18:22:15,已平仓,3.3635316754043646e-14,6,1753339459865,1753352535380
ETH/USDT:USDT_1753352535380_reverse,ETH/USDT:USDT,空头,4.900999999999999,3611.887796368089,2025-07-24 18:22:15,3638.83,2025-07-24 19:10:52,已平仓,-132.04373999999612,4,1753352535380,1753355452712
ETH/USDT:USDT_1753355452712_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3638.83,2025-07-24 19:10:52,3922.07,2025-07-28 14:20:19,已平仓,2.515676555958637e-13,2,1753355452712,1753683619651
ETH/USDT:USDT_1753683619651_reverse,ETH/USDT:USDT,空头,3.429999999999999,3914.2574635708856,2025-07-28 14:20:19,3883.27,2025-07-28 15:09:17,已平仓,106.2870000481378,14,1753683619651,1753686557251
ETH/USDT:USDT_1753686557251_reverse,ETH/USDT:USDT,多头,1.3322676295501878e-15,3889.634511313273,2025-07-28 15:09:17,3860.04,2025-07-28 19:33:57,已平仓,-3.9427809435030383e-14,8,1753686557251,1753702437739
ETH/USDT:USDT_1753702437739_reverse,ETH/USDT:USDT,空头,2.429999999999999,3860.04,2025-07-28 19:33:57,3869.78,2025-07-28 19:38:41,已平仓,-23.668200000000564,2,1753702437739,1753702721304
ETH/USDT:USDT_1753702721304_reverse,ETH/USDT:USDT,多头,1.6653345369377348e-15,3887.0,2025-07-28 19:38:41,3863.07,2025-07-28 21:03:53,已平仓,-3.985145546891972e-14,18,1753702721304,1753707833937
ETH/USDT:USDT_1753707833937_reverse,ETH/USDT:USDT,空头,1.4909999999999983,3862.3089715478986,2025-07-28 21:03:53,3847.14,2025-07-28 21:25:23,已平仓,22.61693657791703,6,1753707833937,1753709123099
ETH/USDT:USDT_1753709123099_reverse,ETH/USDT:USDT,多头,1.7763568394002505e-15,3862.8100000000004,2025-07-28 21:25:23,3785.78,2025-07-29 12:33:19,已平仓,-1.3683276733900165e-13,4,1753709123099,1753763599363
ETH/USDT:USDT_1753763599363_reverse,ETH/USDT:USDT,空头,0.29199999999999804,3785.964298176051,2025-07-29 12:33:19,3800.5,2025-07-29 13:37:18,已平仓,-4.244424932593017,6,1753763599363,1753767438789
ETH/USDT:USDT_1753767438789_reverse,ETH/USDT:USDT,多头,1.7763568394002505e-15,3837.7999999999997,2025-07-29 13:37:18,3826.0,2025-07-31 21:03:14,已平仓,-2.096101070492247e-14,7,1753767438789,1753966994680
ETH/USDT:USDT_1753966994680_reverse,ETH/USDT:USDT,空头,2.822999999999998,3826.0,2025-07-31 21:03:14,3803.28,2025-08-01 00:33:07,已平仓,64.13855999999939,2,1753966994680,1753979587147
ETH/USDT:USDT_1753979587147_reverse,ETH/USDT:USDT,多头,1.7763568394002505e-15,3803.28,2025-08-01 00:33:07,3608.21,2025-08-01 16:31:39,已平仓,-3.4651392866180715e-13,2,1753979587147,1754037099307
ETH/USDT:USDT_1754037099307_reverse,ETH/USDT:USDT,空头,2.5429999999999984,3608.21,2025-08-01 16:31:39,3630.65,2025-08-01 17:02:05,已平仓,-57.0649200000001,2,1754037099307,1754038925115
ETH/USDT:USDT_1754038925115_reverse,ETH/USDT:USDT,多头,8.881784197001252e-16,3637.3966598360653,2025-08-01 17:02:05,,,持仓中,0,12,1754038925115,
XTZ/USDT:USDT_1752913029209,XTZ/USDT:USDT,多头,70.99999999999986,0.816,2025-07-19 16:17:09,0.774,2025-07-19 16:55:28,已平仓,-2.9819999999999887,9,1752913029209,1752915328066
XTZ/USDT:USDT_1752915328066_reverse,XTZ/USDT:USDT,空头,1.9895196601282805e-13,1.094926808749299,2025-07-19 16:55:28,,,持仓中,0,5,1752915328066,
CRV/USDT:USDT_1752918271002,CRV/USDT:USDT,空头,2174.2999999999997,0.9450000000000001,2025-07-19 17:44:31,0.96,2025-07-19 19:33:14,已平仓,-32.614499999999786,15,1752918271002,1752924794019
CRV/USDT:USDT_1752924794019_reverse,CRV/USDT:USDT,多头,4.547473508864641e-13,0.96,2025-07-19 19:33:14,0.948,2025-07-19 19:52:13,已平仓,-5.456968210637574e-15,2,1752924794019,1752925933881
CRV/USDT:USDT_1752925933881_reverse,CRV/USDT:USDT,空头,6565.4,0.9480000000000001,2025-07-19 19:52:13,0.922,2025-07-19 22:34:41,已平仓,170.70040000000014,4,1752925933881,1752935681734
